Nueva Delhi, India|HEAVY|HIGH|14|1|12|Puerto Vallarta, Mexico
Boston, Estados Unidos|HEAVY|HIGH|23|1|1|Nueva Delhi, India
Guadalajara, Mexico|LIGHT|LOW|6|1|0|Portland, Estados Unidos
Bogota, Colombia|LIGHT|LOW|18|1|0|Medellin, Colombia
Rio De Janeiro, Brasil|HEAVY|HIGH|7|5|4|San Pablo, Brasil
Fortaleza, Brasil|LIGHT|MEDIUM|0|1|5|Rio De Janeiro, Brasil
Florianopolis, Brasil|LIGHT|LOW|48|1|9|San Pablo, Brasil
Cusco, Peru|HEAVY|MEDIUM|8|1|1|Lima, Peru
Cancun, Mexico|LIGHT|LOW|22|2|4|Riviera Maya, Mexico
Aracaju, Brasil|LIGHT|HIGH|7|1|3|Belem, Brasil
Guarullos, Brasil|LIGHT|HIGH|17|2|5|San Pablo, Brasil
Valencia, España|HEAVY|HIGH|140|4|1|Zaragoza, España
Tanger, Marruecos|HEAVY|HIGH|137|4|2|Valencia, España
Sevilla, España|HEAVY|HIGH|134|4|1|Tanger, Marruecos
Porto, Portugal|HEAVY|HIGH|123|4|2|Sevilla, España
Obidos, Portugal|HEAVY|HIGH|127|4|2|Porto, Portugal
Madrid, España|HEAVY|HIGH|144|4|2|Obidos, Portugal
Lisboa, Portugal|HEAVY|HIGH|129|4|3|Madrid, España
Granada, España|HEAVY|HIGH|139|4|1|Lisboa, Portugal
Faro, Portugal|HEAVY|HIGH|133|4|1|Granada, España
Evora, Portugal|HEAVY|HIGH|132|4|1|Faro, Portugal
Coimbra, Portugal|HEAVY|HIGH|125|4|2|Evora, Portugal
Cartagena De Indias, Colombia|HEAVY|HIGH|83|2|8|Coimbra, Portugal
Cadiz, España|HEAVY|HIGH|135|4|2|Cartagena De Indias, Colombia
Bogota, Colombia|HEAVY|HIGH|88|2|2|Cadiz, España
Barcelona, España|HEAVY|HIGH|141|4|2|Bogota, Colombia
Buenos Aires, Argentina|LIGHT|HIGH|18|1|0|Rio Cuarto, Argentina
Bahia Blanca, Argentina|LIGHT|HIGH|26|1|4|Buenos Aires, Argentina
Ciudad De Mexico, Mexico|LIGHT|LOW|7|1|0|San Luis Potosi, Mexico
Maringa, Brasil|HEAVY|HIGH|10|1|4|San Pablo, Brasil
Salvador, Brasil|LIGHT|LOW|2|1|0|San Pablo, Brasil
Calama, Chile|LIGHT|MEDIUM|58|4|2|San Pedro De Atacama, Chile
San Pablo, Brasil|LIGHT|MEDIUM|40|1|3|Uberlandia, Brasil
Bogota, Colombia|LIGHT|LOW|3|1|1|Medellin, Colombia
Paris, Francia|LIGHT|MEDIUM|59|2|4|Roma, Italia
Cali, Colombia|HEAVY|HIGH|5|1|0|Cartagena De Indias, Colombia
Bogota, Colombia|HEAVY|HIGH|4|3|1|Cali, Colombia
Rio De Janeiro, Brasil|HEAVY|HIGH|0|1|2|San Pablo, Brasil
Palmas, Brasil|HEAVY|HIGH|3|1|7|San Pablo, Brasil
Lisboa, Portugal|HEAVY|HIGH|147|1|0|Palmas, Brasil
Ciudad De Mexico, Mexico|LIGHT|HIGH|5|1|1|Piedras Negras, Mexico
Juliaca, Peru|HEAVY|HIGH|10|1|3|Lima, Peru
Arequipa, Peru|HEAVY|HIGH|174|1|10|Juliaca, Peru
Atlanta, Estados Unidos|LIGHT|LOW|1|1|64|Medellin, Colombia
Bogota, Colombia|HEAVY|HIGH|41|1|0|Bucaramanga, Colombia
Ciudad Juarez, Mexico|LIGHT|HIGH|0|1|2|El Paso, Estados Unidos
Johannesburgo, Sudafrica|LIGHT|MEDIUM|30|2|0|Tokio, Japon
Ciudad Del Cabo, Sudafrica|LIGHT|MEDIUM|30|2|0|Johannesburgo, Sudafrica
Londres, Reino Unido|LIGHT|LOW|7|2|3|Zurich, Suiza
Barcelona, España|LIGHT|LOW|16|2|4|Londres, Reino Unido
Amsterdam, Holanda|LIGHT|LOW|10|2|3|Barcelona, España
Key Largo, Estados Unidos|HEAVY|HIGH|61|3|3|Naples, Estados Unidos
Rio De Janeiro, Brasil|HEAVY|HIGH|152|2|0|Santiago De Chile, Chile
Lima, Peru|HEAVY|HIGH|168|2|0|Rio De Janeiro, Brasil
Foz De Iguazu, Brasil|HEAVY|HIGH|158|2|0|Lima, Peru
Buenos Aires, Argentina|HEAVY|HIGH|160|2|0|Foz De Iguazu, Brasil
Belo Horizonte, Brasil|LIGHT|MEDIUM|4|1|0|Salvador, Brasil
Brasilia, Brasil|LIGHT|MEDIUM|2|1|0|Foz De Iguazu, Brasil
Orlando, Estados Unidos|LIGHT|MEDIUM|117|2|4|Toronto, Canada
Rosario, Argentina|LIGHT|HIGH|19|2|4|Salta, Argentina
Mar Del Plata, Argentina|LIGHT|HIGH|2|1|1|Rosario, Argentina
Cordoba, Argentina|LIGHT|HIGH|0|1|3|Mar Del Plata, Argentina
Fortaleza, Brasil|HEAVY|MEDIUM|44|1|0|San Pablo, Brasil
Buenos Aires, Argentina|HEAVY|MEDIUM|37|1|0|Mendoza, Argentina
Ciudad De Mexico, Mexico|LIGHT|MEDIUM|25|1|0|Puerto Vallarta, Mexico
Campo Grande, Brasil|HEAVY|HIGH|5|1|1|Cuiaba, Brasil
San Pablo, Brasil|LIGHT|MEDIUM|44|2|1|Sintra, Portugal
Porto, Portugal|LIGHT|MEDIUM|33|2|5|San Pablo, Brasil
Lisboa, Portugal|LIGHT|MEDIUM|44|2|1|Porto, Portugal
Coimbra, Portugal|LIGHT|MEDIUM|39|2|1|Lisboa, Portugal
Braga, Portugal|LIGHT|MEDIUM|38|2|1|Coimbra, Portugal
Buenos Aires, Argentina|HEAVY|HIGH|1|3|0|Cayenne, Guayana Francesa
Balmaceda, Chile|HEAVY|MEDIUM|7|1|1|Punta Arenas, Chile
Marsella, Francia|HEAVY|HIGH|20|2|4|Niza, Francia
Bogota, Colombia|HEAVY|MEDIUM|36|2|0|Santa Marta, Colombia
Calgary, Canada|LIGHT|LOW|217|1|1|Santiago De Chile, Chile
Fort Lauderdale, Estados Unidos|LIGHT|HIGH|39|6|3|Miami, Estados Unidos
Cancun, Mexico|LIGHT|HIGH|96|6|7|Ciudad De Mexico, Mexico
Cancun, Mexico|LIGHT|LOW|105|4|6|Riviera Maya, Mexico
Berlin, Alemania|LIGHT|MEDIUM|34|3|2|Praga, Republica Checa
Barcelona, España|LIGHT|HIGH|304|2|5|Valencia, España
Porto De Galinhas, Brasil|LIGHT|UNKNOWN|56|3|2|Recife, Brasil
Natal, Brasil|LIGHT|UNKNOWN|20|5|3|Porto De Galinhas, Brasil
Jericoacoara, Brasil|LIGHT|UNKNOWN|17|2|2|Natal, Brasil
Buzios, Brasil|LIGHT|UNKNOWN|13|2|3|Jericoacoara, Brasil
Barcelona, España|LIGHT|MEDIUM|42|1|13|El Prat De Llobregat, España
Ushuaia, Argentina|HEAVY|HIGH|237|2|4|Vitoria, Brasil
Logroño, España|HEAVY|HIGH|63|2|1|Zaragoza, España
Leon, España|HEAVY|HIGH|62|2|1|Logroño, España
Barranquilla, Colombia|LIGHT|MEDIUM|29|1|0|Cali, Colombia
Miami, Estados Unidos|LIGHT|HIGH|122|1|6|San Pablo, Brasil
Pocos De Caldas, Brasil|LIGHT|MEDIUM|5|5|1|San Pablo, Brasil
Campinas, Brasil|LIGHT|MEDIUM|6|5|3|Pocos De Caldas, Brasil
Roma, Italia|LIGHT|LOW|1|2|3|Viena, Austria
Praga, Republica Checa|LIGHT|LOW|1|2|2|Roma, Italia
Rio De Janeiro, Brasil|LIGHT|MEDIUM|58|1|0|San Pablo, Brasil
Beverly Hills, Estados Unidos|HEAVY|HIGH|83|4|6|Houston, Estados Unidos
Buenos Aires, Argentina|HEAVY|HIGH|9|1|7|Montevideo, Uruguay
Angra Dos Reis, Brasil|LIGHT|HIGH|31|2|3|Rio De Janeiro, Brasil
Gramado, Brasil|HEAVY|HIGH|15|6|1|Rio De Janeiro, Brasil
Barcelona, Venezuela|LIGHT|UNKNOWN|8|1|65|Bogota, Colombia
Denver, Estados Unidos|LIGHT|MEDIUM|43|6|10|Kiev, Ucrania
Charlotte, Estados Unidos|LIGHT|MEDIUM|36|6|10|Denver, Estados Unidos
Los Angeles, Estados Unidos|HEAVY|HIGH|5|2|0|San Francisco, Estados Unidos
Malargue, Argentina|HEAVY|HIGH|104|2|3|Mar Del Plata, Argentina
Antofagasta, Chile|HEAVY|HIGH|61|1|1|Concepcion, Chile
Estambul, Turquia|HEAVY|MEDIUM|153|3|5|Paris, Francia
Buenos Aires, Argentina|LIGHT|MEDIUM|11|3|4|Cayenne, Guayana Francesa
Rio De Janeiro, Brasil|HEAVY|MEDIUM|0|1|0|Sao Jose Do Rio Preto, Brasil
Curitiba, Brasil|LIGHT|LOW|0|1|0|San Pablo, Brasil
Bogota, Colombia|HEAVY|LOW|1|1|0|Monteria, Colombia
Barranquilla, Colombia|HEAVY|LOW|0|1|0|Bogota, Colombia
Bogota, Colombia|HEAVY|MEDIUM|30|1|0|Cartagena De Indias, Colombia
Buenos Aires, Argentina|LIGHT|HIGH|35|4|8|Santiago De Chile, Chile
Guadalajara, Mexico|LIGHT|LOW|1|2|0|Isla Mujeres, Mexico
Morro De San Pablo, Brasil|HEAVY|MEDIUM|18|3|9|Salvador, Brasil
Austin, Estados Unidos|LIGHT|HIGH|63|2|4|Miami Lakes, Estados Unidos
Arequipa, Peru|HEAVY|LOW|32|3|0|Piura, Peru
Bangkok, Tailandia|HEAVY|HIGH|25|1|4|Tokio, Japon
Paris, Francia|HEAVY|HIGH|37|2|0|Zurich, Suiza
Machu Picchu Pueblo, Peru|HEAVY|HIGH|35|2|1|Paris, Francia
Lima, Peru|HEAVY|HIGH|38|2|1|Machu Picchu Pueblo, Peru
Ko Yao Yai, Tailandia|HEAVY|HIGH|84|2|2|Lima, Peru
Jerusalen, Israel|HEAVY|HIGH|50|3|3|Ko Yao Yai, Tailandia
Florencia, Italia|HEAVY|HIGH|59|1|1|Jerusalen, Israel
Cusco, Peru|HEAVY|HIGH|32|2|2|Florencia, Italia
Ciudad De Mexico, Mexico|HEAVY|HIGH|50|4|3|Cusco, Peru
Bruselas, Belgica|HEAVY|HIGH|53|3|1|Ciudad De Mexico, Mexico
Atenas, Grecia|HEAVY|HIGH|62|1|2|Bruselas, Belgica
Ciudad De Mexico, Mexico|LIGHT|MEDIUM|2|4|1|Guanajuato, Mexico
Colon, Panama|HEAVY|MEDIUM|97|2|4|Panama, Panama
Ciudad De Mexico, Mexico|LIGHT|HIGH|42|11|3|Puerto Vallarta, Mexico
Bogota, Colombia|HEAVY|HIGH|2|1|8|Tegucigalpa, Honduras
Nuevo Vallarta, Mexico|LIGHT|MEDIUM|36|3|3|Puerto Vallarta, Mexico
Morro De San Pablo, Brasil|LIGHT|MEDIUM|57|2|7|Salvador, Brasil
Miami, Estados Unidos|LIGHT|HIGH|37|1|14|Orlando, Estados Unidos
Cancun, Mexico|LIGHT|LOW|70|2|8|Riviera Maya, Mexico
Boston, Estados Unidos|LIGHT|HIGH|53|2|2|Nueva York, Estados Unidos
Ciudad De Mexico, Mexico|HEAVY|HIGH|7|1|0|Dallas, Estados Unidos
Cancun, Mexico|HEAVY|HIGH|38|3|7|Ciudad De Mexico, Mexico
Barreiras, Brasil|HEAVY|HIGH|12|1|3|Vitoria Da Conquista, Brasil
